STAID,DRAIN_SQKM,ELEV_MEAN_M_BASIN,SLOPE_PCT,ROCKDEPAVE,DEVNLCD06,TOPWET,PERMAVE,BFI_AVE,HGD,HGC,HGCD,CLASS,STREAMS_KM_SQ_KM,ARTIFPATH_PCT,ARTIFPATH_MAINSTEM_PCT,DDENS_2009,STOR_NID_2009,STOR_NOR_2009,MAJ_NDAMS_2009,MAJ_DDENS_2009,RAW_DIS_NEAREST_DAM,RAW_AVG_DIS_ALLDAMS,RAW_DIS_NEAREST_MAJ_DAM,RAW_AVG_DIS_ALL_MAJ_DAMS
01011000,3186.8,363.1,5.9,47.45,0.05,11.50,1.56,49.7,30.29,30.04,12.29,Non-ref,0.57,14.87,87.89,0.06,38.34,30.20,1,0.03,21.9,43.8,65.8,65.8
01013500,2252.7,273.3,6.9,48.21,1.09,12.11,1.47,53.6,24.97,44.25,17.34,Ref,0.67,16.40,58.05,0.13,0.81,0.77,0,0.00,10.6,24.4,-999.0,-999.0
01015800,2313.8,278.3,4.6,52.29,0.27,12.19,1.91,52.0,34.30,36.11,10.39,Non-ref,0.58,13.21,99.63,0.04,12.20,12.20,1,0.04,42.7,42.7,42.7,42.7
01016500,847.8,324.6,6.8,49.66,0.03,11.80,1.84,52.1,28.93,34.24,12.99,Non-ref,0.71,5.24,21.05,0.12,0.92,0.79,0,0.00,43.5,43.5,-999.0,-999.0
01017000,4278.9,271.8,4.8,52.89,0.54,12.12,1.85,52.2,32.98,35.70,9.47,Non-ref,0.63,11.33,99.86,0.09,23.90,23.87,2,0.05,1.6,42.4,27.7,50.6
01017060,14.9,184.5,2.6,51.45,4.89,11.56,1.43,54.0,17.00,34.00,0.00,Non-ref,0.49,0.00,0.00,0.00,0.00,0.00,0,0.00,-999.0,-999.0,-999.0,-999.0
01017290,594.6,221.7,3.8,54.85,3.16,12.27,1.89,54.5,26.10,37.41,6.05,Non-ref,0.64,3.24,1.00,0.50,3.03,0.41,0,0.00,4.8,5.8,-999.0,-999.0
01017550,10.0,198.6,2.4,51.45,7.77,11.32,1.43,54.0,17.00,34.00,0.00,Ref,0.26,0.00,0.00,0.00,0.00,0.00,0,0.00,-999.0,-999.0,-999.0,-999.0
01017960,226.3,186.9,5.0,46.66,5.01,12.18,2.04,51.6,15.38,40.61,10.25,Non-ref,0.71,12.94,21.64,0.88,26.08,13.79,0,0.00,9.5,11.1,-999.0,-999.0
01018000,450.5,177.0,3.6,49.36,4.28,12.72,2.22,51.9,20.88,39.91,8.43,Non-ref,0.67,8.16,20.33,0.44,13.10,6.92,0,0.00,10.6,12.1,-999.0,-999.0
